COID,CE_ID,Supplier,Address,City,ZIP,Country/Region,Head office,ZIP (head office),Standard,Certificate/Assessment lock date,Lock reason,Certificate/Assessment issue date,Product scopes,Lock history,Next audit to be performed
47531,756F2359,INDUSTRIAS LACTEAS SAN VICENTE S.L.,"AVDA. DE LA LIBERTAD, 24",NAVATEJERA - LEON,24193,Espagne,,,IFS Food,30.06.2025,"During the IOC audit completed on site on 20-June-2025 the following Major NCs and KO were identified:
 
  4.8.3 MAJOR The company operates a clean room since February 2025, where the cheese is cut in wedges (with / without pre-cutting in portions). Cutting, packing and labelling had not been segregated until that date. There is a risk assessment for this requirement, dated on 01 FEB 2024, where the company concluded that the clean room was necessary for the activity to guarantee absence of microbiological contamination and shelf life. The defined range of temperature for the room 12ºC-16ºC. 
 The company had a “Procedure in case of failures” for the clean room, where some measures in case of malfunction in the climate equipment are described (IP-40, dated on 06 APR 2025). This was documented after a deviation in the last IFS audit, and it includes the following measures: 
 o Disinfection of surfaces every 30 mins and rinsing 
 o Reduction of the working time to 5 hours. 
 o Restriction in the personnel access. 
 On the day of the audit, the clean room temperature was 23.5ºC. The company stated the climate control equipment has been removed from the facilities and taken to the external supplier´s for a corrective maintenance, as it never worked correctly. The following was observed: 
 - There is no evidence that the equipment has been installed, nor taken back to the supplier´s facilities. A note was requested to the supplier, who sent it by e-mail during the audit, stating that the equipment was removed on JUNE 10th for corrective maintenance, and they expect to repair it in the following 10 days. 
 - There is no clean room installation evidence available. There is neither any evidence that this equipment has been included in the internal preventive maintenance plan, nor any record of corrective maintenance on the equipment. 
 - There is no temperature record available for this room. 
 - There is no environmental analysis in the room since the installation. They planned to do it in July-August. 
 Besides this: 
 - No intermediate disinfection was done during the time the auditor was on the area, as required in the “Procedure in case of failures”. 
 - No disinfectant gel was used at the entrance to the room. There is no hygienic sluice, and clothes are changed at the product labelling room to enter. 
 - In the “mini” packing line, the product (soft cheese 1 kg) was left on pallets and in the machine to be packed for more than 2 hours. This product is the most sensitive one (aW: 0,94). According to the risk assessment, the product should not be in the room for more than 1.5 hours. 
   
 4.13.2 MAJOR Despite the company has a pest control plan in place, the following issues were observed: 
 - Presence of drain flies and other insects in cheese production area, specially in the brine area, on the walls, floors and junctions area. The fly killer devices were full in the area. 
 - Cockroach wings were observed in the culture storage room, in production area. The company has applied a treatment for cockroaches in May 2025. 
 - Also, numerous birds and rodent droppings were observed in another external warehouse, where the company has another finished product cold chamber, and packaging materials storage. 
 - Pest control plan does not cover a separated warehouse building, that the company uses to store old machinery, debris, and all kind of objects. A dead rodent and a dead bird were found in this warehouse, as well as numerous rodent and bird droppings. The company states the warehouse is not in use, but white cheese containers were stored in the room, close to where the rodent and bird were spotted.",29.04.2025,4,Locked: 30.06.2025,
48673,2CAF2C51,Hoffnungstaler Werkstätten gGmbH,Sydower Feld 1,Biesenthal,16359,Allemagne,,,IFS Progress Food,09.07.2025,"In the IFS Food Audit by another CB, 3 non-conformities were identified, of which the following 2 valuations have an impact on the IFS Progress confirmation letter
 Major in 4.3.1: 
 The list of ingredients for mango vanilla fruit yoghurt (150 g) is written as containing 12 % mango puree. However, the mixture contains 20 to 22 %. The supplier specification dated 26/02/2024 states a mango puree content of 50%. This would mean that the end product contains 10 to 11 %, but not 12 %. The quantitative indication of ingredients that are of significant importance for the differentiation from other foods, as required in Art. 22 para. 1 FIR, has therefore not been implemented correctly.
 Major in 4.18.1:
 Production logs are used to document traceability within the company. The batch numbers of the packaging and the ingredients used are recorded in these logs. Two systems are used for recording:
 a) For ingredients that change frequently, a direct, handwritten note is made in the last production log (e.g. for the culture used).
 b) For ingredients that do not change frequently, the batch change is entered in an Excel spreadsheet and remains there until the next batch change. When the production log is printed out, the batch stored in the Excel spreadsheet for these ingredients (e.g. packaging material) is transferred to the production log so that it is also stored in the production log. The production log is the key log for traceability.
 During the inspection on 30 June 2025 (IFS Food), discrepancies were found between the batch numbers of packaging and ingredients in the warehouse and the batches stored in the Excel spreadsheet for 
 - 10 kg bucket: documented as P2513463, in store as P2509664 (both batches are from delivery on 23 June 2025), opened P2514635 (not listed on the last two dispatch notifications) 
 - Whole milk, 10 litre tube (tube, blue): documented batch number 17.06.2024, opened: 23.04.2025. More than 800 tubes are already missing here. Production 30/06/2025 (436 tubes), production 27/06/2025 (232 tubes) 
 - Laboratory: documented 44180404, opened: 50980004
 Therefore, traceability via the production logs cannot currently be ensured",28.05.2025,4,Locked: 09.07.2025,
49302,17F043F3,NTRA SRA DEL ROSARIO S.C.L (BODEGAS CAMPOS REALES) coop (SITE PROVENCIO),"Castilla la Mancha, 4",Cuenca,16670,Espagne,,,IFS Food,20.06.2025,"During the recertification audit, a major non-conformity has been detected in requirement 5.4.1:
 
 It is observed that the scale used for products packaged in BiB does not comply with the tolerance established in RD1801/2008. The step of the class III scale used is 10g, when it should be a maximum of 3 grams.",24.07.2024,8,Locked: 20.06.2025,
51866,11B506DA,Landmetzgerei Heinzelmann GmbH & Co. KG,Rainweg 2,Fluorn-Winzeln,78737,Allemagne,,,IFS Progress Food,04.07.2025,"Major 5.4.1:
 During the audit, it was found that the company does not use calibrated scales to check filling weights in the production of self-service portion sausages in sterile casings and meat salads in tubs. In addition, the random sample weighings for these products are not recorded to check compliance with the specified nominal filling quantity. This means that the pre-packaging regulations are not being complied with.",01.10.2024,"1, 5, 2007",Locked: 04.07.2025,
55598,D614C964,Malufra Sarl,Lot 364 et 365; Zone Industrielle,Taourirt,65800,Maroc,,,IFS Food,09.07.2025,Outstanding payments,19.03.2025,2,Locked: 09.07.2025,11.02.2026 - 13.02.2026
57527,E437EDF6,SPANIC EUROGROUP S.L.,"AV DEL CAMI NOU, Nº 245; POL. ZAMARRA","XIRIVELLA, VALENCIA",46950,Espagne,,,IFS Food,07.07.2025,"During the recertification audit, a major nonconformity is detected in requirement 5.3.2: When making samosas, the weight of the strips of dough used to make the samosa is checked (but not recorded). For loose samosas, weight control and recording are only carried out if they are packaged in bulk in a box with a plastic bag.
 There is insufficient recorded documentation to verify that the product contains 70% filling in other formats. For example, in the traceability product, there is no record of dough weight or samosa weight to perform calculations and verify that it contains 70% filling.
 For the quantity of meat (20% of the filling) with the production portion, this percentage can be verified; for example, in the traceability exercise, it would come out at 19.9%.",12.07.2024,7,Locked: 07.07.2025,
58829,B46C5FDB,Sulzberger Käserebellen Sennerei GmbH,Thüringerberg 110,Thüringerberg,6721,Autriche,,,IFS Progress Food,20.06.2025,Steam boiler out of operation,14.10.2024,4,Locked: 20.06.2025,
59174,C771023A,I.CA. Srl,Via Torre snc,Nissoria (EN),94010,Italie,,,IFS Food,07.07.2025,"During the audit completed on site on 1-2 July 2025 – 01 the following KO and NC mayor were identified:
 
 NC major 2.3.6.1 Hazard analysis Ed.2 Rev. 6 Annex 3 of 12.06.2025 the production process for lasagne alla parmigiana does not include the cooking and manual filling of the braising pan for the production of tomato sauce, Furthermore, the process for pre-cooked fried products does not include the manual loading of flour for battering, and the risk of allergens is not clearly formalised for the packaging process of assembled products.
 
 KO 2.3.9.1 Hazard analysis Ed.2 Rev. 6 Annex 3 of 12.06.2025 the production process for lasagne alla parmigiana does not include the cooking and manual filling of the braising pan for the production of tomato sauce, Furthermore, the process for pre-cooked fried products does not include the manual loading of flour for battering, and the risk of allergens is not clearly formalised for the packaging process of assembled products.
 
 NC major 4.3.4: The shelf life study for chicken cutlet product batch 5154439 RDP 221839 dated 29 January 2023 for time T0 reports the presence of listeria, although it is a ready-to-cook product. no validation and process control has been formalised to support the possible growth of listeria at 22 days (product expiry date).
 
 NC major 4.3.6 Nutritional value tests were carried out (lasagne alla parmigiana RDP6079 dated 28.07.20217), Salsiccia cacio e pepe L5187853 expiry date 06.02.2024 RDP 2024000231 dated 02.02.2024 reports a fibre content of 0, which is not in line with the product data sheet, which lists dietary fibre (as an ingredient), as confirmed by the data sheet for the ingredient itself (Fresco Glorioso technical data sheet of 24 December – fibre 7.2g/100g
 
 Nc Major 4.9.8.3: At the time of inspection, the protective grilles of the air conditioning fans inside the blast chiller showed signs of rust. Furthermore, the forced air duct in the battering machine had blackened areas that appeared to be mould due to humidity. In these areas, the product was exposed, with a potential impact on product safety
 
 NC Major 4.19.3 Allergen management procedure does not include a formal risk assessment of celery allergens derived from raw materials used in the company (Pistachio flour supplied by Calacxxx, technical data sheet Rev. of 01.01.2024, which reports the presence of celery), in the technical data sheet for the finished product Pistachio rolls 180g Skin of 30.01.2025, it only reports (Eggs, fish, soy, sesame seeds and their derivatives)
 
 NC Major 5.11.4: : At the time of the audit, the following non-conformities were not effectively managed: internal NC of 25 March 2025 regarding the management of water stagnation (verified on 1 April 2025 by RSA) in production, at the time of the on-site inspection on 2 and 3 July in some areas, e.g. the sectioning area and the cooking area, where there was still standing water that had not been removed, with no impact on the product. Furthermore, the non-conformities that emerged during the integrity programme for points 4.9.3.3 , 4.9.8.2 and 4.14.3 were still not managed",12.08.2024,"1, 7",Locked: 07.07.2025,
59762,5064A757,FLUFA SA,Rue H.-F. Sandoz 80,Tavannes,2710,Suisse,,,IFS Progress Food,25.06.2025,FLUFA SA is relocating. The address has been changed from Rue H.-F. Sandoz 80 in 2710 Tavannes to Rue de Pierre-Pertuis 43 in 2710 Tavannes.,21.06.2024,6,Locked: 25.06.2025,
60353,451C32D4,"MIDSONA IBERIA, S.L.U.","MAS MONTSERRAT, S/N.",CASTELLCIR (barcelona),8183,Espagne,,,IFS Food,24.06.2025,"Major Non Conformity Req. 4.9.3.1
 In relation to the condition of the floors, the following is evident:
 - The floor coverings of the finished product and semi-finished product blast chillers in Hall 2 do not meet the hygienic requirements for production. They are completely deteriorated (including the presence of grit in the finished product chiller due to excessive deterioration), which prevents proper cleaning and disinfection. Surfaces are not impermeable or resistant to wear and tear.
 - Partially deteriorated flooring (with chipping) in different locations (tofu curdling area, tempeh processing room entrance area and drainage area located between fryers).
 - Incorrect hygienic disposal of water on the floor of the blast chiller in Hall 1 and in the semi-finished product blast chiller in Hall 2; puddles of water have formed because the water does not drain directly into the drains. In the case of the floor of the chiller for semi-finished product in Hall 2, the puddles of water generated have crossed the door that is in direct contact with the freezing chamber and have generated ice formation on the floor of this chamber.
 - Presence of accumulated ice on the floor of the finished product freezing chamber in Warehouse 2 (under the evaporator).",13.08.2024,"5, 6, 2007",Locked: 24.06.2025,
62626,CDA3AFBB,Energique bv,Wetterkant 10,Gorredijk,8401,Pays-Bas,,,IFS Food,02.07.2025,"As of today (02.07.2025) Certima BV withdraw the certificate number IFS-01118 of client
 
 Energique B.V.
 Wetterkant 10, 8401GC Gorredijk, Netherlands
 COID: 62626
 
 Reason: During the audit conducted in period 23-25.06.2025, the auditor raised multiple Major and KO non-conformities.
 
 1.2.1 KO: Based on the site tour observations and the samples of documents and records reviewed during the audit it can be concluded the company’s management does not guarantee that employees know and implement their responsibilities. In the course of the audit a large number of critical non-conformities were found.
 
 1.2.2 Major: During the first day of the audit 3 different sausage-type products were in production, own brand RAW. One of the product had declared on the packaging a net weight of 450 g, marked with the ‘e’-sign. According to the local legislation, the company is required to have a formal approval by the government control authority to use the e-sign on pre-packed products. Currently the company does not hold such official approval.
 
 4.12.1 KO: During the site tour there were several observations where the risk of products’ contamination with foreign materials could not be excluded:
 - in the cooling chamber for meat ingredients thawing there were several pallets where products were in direct contact with wooden pallets that were in poor condition, including splintering parts; one of the pallets was colored with red paint, the company representatives could not explain what kind of paint this is, it was not clear whether it is suitable for direct contact with the meat products;
 - in the frozen storage chamber on number of pallets splinters of wood were seen (from the pallets stored on upper level racks);
 - during the visit in the meat preparation area cleaning between two batches (charges) in the meat grinder was observed; the operator was cleaning the floor and moving the floor water to the near drain, on the way back where cleaning tools are stored, the floor squeegee that was just used, was moved right above a pallet with open product prepared for the next meat mixing;
 - further cleaning operations in the same area executed in unhygienic way were observed – operator picking waste from the floor and handing it out to another operator, touching and moving the floor drain grid and further manipulation with products without changing gloves or hands washing;
 - during the visit in the production area, sausage line, on the casing filing machine, above the open feeding hopper, the motor of the near screw conveyor was seen rusty, with flaking paint;
 - the inside of the freezing tunnel was inspected after the machine has been cleaned – seen rusty grids on the fans, loose sealing between the wall and the ceiling, a built up of product residues on the bottom side of the conveyor;
 
 4.18.1 KO: 1) During the first day of the audit a traceability exercise was executed on product RAW Veterinary Diets Hypoallergenic 12 x 450 g, PD 31.03.2025, LOT B14-25, 2986.2 kg. The presented production documents show two charges of meat ingredients (1241 kg & 1221 kg) and two charges of dry and liquid ingredients have been prepared (1005 kg), to a total quantity of 3405 kg of semi-finished product before filling into casings. From the production records presented the total quantity of final products produced is 3069 kg. However the difference in the quantity of about 400 kg of prepared material before filling and after filling in cases could not be traced on the provided records and the company could not explain or identify that remaining material.
 2) During the site tour in the packaging storage area pre-printed labels were seen present. These bear the legally-required information for the products. These labels are not covered by the implemented traceability system – their usage is not recorded.
 
 5.10.1 Major: During the audit different products and materials were seen marked as blocked – e.g. final products planned for products for rework, raw materials, products blocked during the audit related to observed non-conformities. Besides the pallets being marked as blocked, no further records are kept on what the identified issues are, defined responsibilities, risk assessment or decision about further handling. The possible misuse of non-confirming products can not be excluded as there is no traceable data on the status of the non-conforming products.",01.07.2024,11,Locked: 02.07.2025,
62687,27BEA56C,CFROID SARL,7/9 AVENUE JEANNE GARNERIN,WISSOUS,91320,France,,,IFS Logistics,26.06.2025,"One Major non-conformity has been raised during the IFS Logistics version 3 audit on 25/06/2025:
 
 Major Non-conformity (requirement 4.10.1):
 The pest control contract signed with the service provider I. and dated 23/11/2012 states that there will be four visits per year, with “the application of appropriate raticide and insecticide baits authorized by the Ministry of Agriculture” and “bait placed inside secure containers listed on visit sheets”.
 The service provider’s last two visits were on 04/11/2024 and 02/04/2025. On 04/11/2024, Difenacoum was used outdoors at stations 26 and 27. And, on 02/04/2025, Difenacoum was used outdoors at stations 29 and 30. 
 Beyond the failure to comply with the contractual frequency of visits, no follow-up was carried out within 35 days, as required by regulations for the use of this type of AVK.",21.08.2024,"1.1.1, 1.1.2, 1.1.3, 1.1.4, 1.1.5, 1.1.6, 1.1.7, 1.1.8, 1.1.9, 2.1.1, 2.1.2, 2.1.3, 2.1.4, 2.1.5, 2.1.6, 2.1.7, 2.1.8, 2.1.9",Locked: 26.06.2025,
64166,3D03DEC6,JOSE MORALES S.L.,CC 3320 KM 29.6 Pol. Ind. Cotes,Algemesi (Valencia),46680,Espagne,,,IFS Food,09.07.2025,"On 21.06.25 a fire destroyed the entire production plant. 
 There was no product left in stock; only part of the office area was saved. 
 The causes of the fire are still unknown. It started at night during the weekend (plant not operational).",14.01.2025,9,Locked: 09.07.2025,03.12.2025 - 04.12.2025
67142,DBE5FEC4,Hanseatic Delifood GmbH,Osterbrooksweg 60,Schenefeld,22869,Allemagne,,,IFS Broker,10.07.2025,"In February 2025, during a routine inspection by a Swiss veterinary authority, listeria was detected in 25g of the product salmon offcuts best before 09.02.2025 (test report dated 21.02.2025). As the product had already passed its expiry date, there was no need for a recall. By order of the Swiss cantonal authorities, the product could no longer be distributed. The subsequent batches that were already with the customer were recalled and analysed; none of them were contaminated with listeria.
 The incident is to be regarded as a recall, but it was not reported to the certification body.",19.08.2024,"1,2",Locked: 10.07.2025,
67913,50FD104B,"BODEGAS CENTRO ESPAÑOLAS, S.A.","Carretera Alcazar, km 1",Tomelloso (CIUDAD REAL),13700,Espagne,,,IFS Food,26.06.2025,"During the recertification audit, a major non-conformity has been detected in requirement 4.3.2:
 
 1. Contrary to Regulation (EU) 2021/2117, the list of ingredients in the QR code of the wines reviewed during the audit; ""R.C. verdejo blanco 2024"" ""All_ verdejo blanco 2024"", ""R.C. tinto tempranillo 2024"", does not include all the ingredients that are added, but, only grapes and sulphur dioxide (SO₂).
 Production records were checked, where it is recorded that stabilisers are added, e.g. for the following products;
 - ""R.C. Verdejo Blanco 2024"", ""All_ Verdejo blanco 2024"", L25168, it is found, that are added; Z.W., containing according to F.T. of 01.25., potassium polyaspartate, sodium carboxymethyl cellulose (CMC) and gum arabic, which are not declared.
 -
 - ""R. C. Tempranillo 2024"", L25161, Z.C. is added, containing, according to F.T. of 01.25., potassium polyaspartate and gum arabic, which are not declared.
 
 2.- In the case of young red wine, the nutritional information on the technical data sheet (20.08.24) does not coincide with that indicated in the QR code and the table for calculating nutritional values.
 
 3. On the other hand, during the visit and labelling process, specifically in the red wine crianza R. C. lot 25174, it was observed that the location of the lot is not controlled in a visible and fixed place, since it can move over the text of the label, making its correct visualisation difficult.",02.08.2024,8,Locked: 26.06.2025,
69326,E7DB86E6,ALGI SA,Avenue Lavoisier 4,Wavre,1300,Belgique,,,IFS Food,03.07.2025,"Major 4.17.4: Presence of icing in freezer number 2 around the evaporator on the wall. Some products were kept under the evaporator and were not covered (cordon bleu and filled pasta), later it was seen that some ice particles were also present in the uncovered boxes. However, the cordon bleu and filled pasta will undergo another cooking step.
 
 KO 4.18.1: During the audit, it was found in several samples that traceability could not be guaranteed until delivery to the customer.",06.09.2024,7,Locked: 03.07.2025,
70688,CE5A9373,Süd-Fresh SA,Avenue d'Ecolys 31,Suarlée,5020,Belgique,,,IFS Logistics,02.07.2025,"During IFS Logistic Audit on 30.06.2025 two KO was raised and found justified.
 KO against 2.2.3.6 
 Monitoring of temperature in storage areas is CCP (PL-HACCP-26 dd 16/06/25). 
 Critical limit for frozen storage is set at -18°C.
 Monitoring through automatic T logging system + alarm generated via message on mobile phone and e-mail sent to responsibles of Süd Fresh + external generated alarm to external company S. (cooling installation).
 Corrective actions defined: contact subcontractor S. for reparation, evaluate impact on product (by measuring product temperature), consider product as non-conform (in consultation with product owner).
 Temperature records were seen for period 23-30/06/25. In frozen storage area temperature raised on 26-27-28/06/25 to max -10°C. Internal alarms have been generated, but no action could be shown. When verifying the temperature graphics from external company S. for the same period, also a raise in temperature was seen. It was not clear whether S. had received an alarm.
 KO against 5.9.2: 
 Insufficient corrective action taken following the previous IFS audit (recurrence was noticed):
 - 3.1.1: deadline for corrective action was 01/2025. However, no new training records + test results could be shown during this audit
 - 4.1.8.2: no verification of cleaning records has been done since September 2024
 No corrective actions described for 3 deviations noticed during the internal audit dd 03/04/25 at only the site in Suarlée.",11.11.2024,"1.1.1, 1.1.10, 1.1.2, 1.1.3, 1.1.4, 1.1.5, 1.1.6, 1.1.7, 1.1.9, 2.1.1, 2.1.10, 2.1.2, 2.1.3, 2.1.4, 2.1.5, 2.1.6, 2.1.7, 2.1.9",Locked: 02.07.2025,
73522,9EF77CEC,CALABRIA FOOD srl,ZONA INDUSTRIALE,PIANO LAGO (CS),87050,Italie,,,IFS Food,01.07.2025,Suspension due to interruption of production activities for maintenance work at the certified site,27.08.2024,5,Locked: 01.07.2025,
73582,2A0DB9A8,FREJA Transport & Logistics A/S,Plantagevej 24,Padborg,6330,Danemark,,,IFS Logistics,03.07.2025,"During the audit completed on site on 30.06.2025 – 01.07.2025 (sites COID 73583 and COID 73582) the following KO was identified:
 5.1.1. KO Frequency for internal audits is not determined by risk and does not take critical activities in to consideration. The audit plan does not show reference to IFS standard requirements. The audit report (for 2024) dated 22.08.2024 does not cover topics such as Management, HACCP, Food Fraud, Food Defense etc.",29.07.2024,"1.10, 1.1, 1.11, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9",Locked: 03.07.2025,
73583,"2,70E+07",FREJA Transport & Logistics A/S,Industrivej 46,Padborg,6330,Danemark,,,IFS Logistics,03.07.2025,"During the audit completed on site on 30.06.2025 – 01.07.2025 (sites COID 73583 and COID 73582) the following KO was identified:
 5.1.1. KO Frequency for internal audits is not determined by risk and does not take critical activities in to consideration. The audit plan does not show reference to IFS standard requirements. The audit report (for 2024) dated 22.08.2024 does not cover topics such as Management, HACCP, Food Fraud, Food Defense etc.",23.07.2024,"1.1, 1.10, 1.11, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.1, 2.2, 2.3, 2.4, 4.1, 4.10, 4.11, 4.12, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7",Locked: 03.07.2025,
75747,A3A1D465,SEGURA JAMONES DE SERON SL,AVENIDA DE LEPANTO 61,SERON (ALMERIA),4890,Espagne,,,IFS Food,04.07.2025,"During the audit performed on 1st July 2025 to 3rd July 2025, it was detected a Major non-conformity under the requirement 4.3.2.
 
 Major non-conformity 4.3.2.
 Having checked the labelling of the final product selected for the traceability exercise, sliced ham Gran Reserva own brand Segura with batch 76828522 and best-before date 01-09-2025, it was found that the following ingredients are declared in the list of ingredients: pork ham, sea salt, salt, preservatives (E-252, E-250), antioxidant (E-316) and sugar. However, on the basis of the production records reviewed during the traceability test, it is found that no nitrifying agents were used in the production of this batch (in which case Parkers Jam Plus nitrifying salt is used, the composition of which is salt, potassium nitrate, sodium nitrite, antioxidant E-316 and sugar). 
 Consequently, it is evident that the company has declared on the final product label ingredients that are not actually present, which is considered a breach of Regulation (EU) No 1169/2011 on the provision of food information to consumers.",06.09.2024,1,Locked: 04.07.2025,
77976,56AEAE9D,PABERTRANS OPERADOR DE TRANSPORTE. S.L.,"Ctra. Granada-Almuñecar, Paraje Venta Tataron, Km 1,9",Padul (Granada),18640,Espagne,,,IFS Logistics,07.07.2025,"Mayor NC 4.10.1:
 The company has a pest control plan subcontracted to DA, S.L. (ROESB 0044-AND-450). The 2025 visits and 2024 trends were verified, with no major incidents found.
 The pest control plan cannot be considered effective because two dog droppings were detected within the facilities, located in the food storage area.",09.08.2024,"2.1.1, 2.1.10, 2.1.2, 2.1.4, 2.1.5, 2.1.6, 2.1.7, 2.1.8, 2.1.9",Locked: 07.07.2025,
78584,F6671287,Terzo Cerchio s.r.l .,"Via Botriolo, 64",Castelfranco Piandiscò,52026,Italie,,,IFS Food,27.06.2025,"A KO was raised during the audit on June 24-27, 2025. 
 Description of the KO:
 Clause 5.1.1:
 “The following findings emerged from the verification of the last three internal audits (March 2025, October and November 2024):
 - for the three audits there is no evidence of communication of the audit results (checklist, minutes, etc.) to the Quality Manager by the internal auditor); for those of March and October a paper copy was found by the internal auditor; it was not possible to obtain evidence for the November audit.
 - from the verification of the checklist used by the internal auditor, although the definition ""IFS version 8"" is reported in the header, the requirements reported still refer to version 7 of the standard.
 - for the non-conformities of the March audit (the only ones for which it was possible to have evidence), for some of them it was possible to have evidence of treatments (e.g. training report for the NC at point 4.10.6, communication to the pesto control operator to the NC at point 4.13.4) for others it was not possible to have evidence of treatment (see NC at points 5.6.5 and 5.6.8); in all cases there is no evidence of treatment of the NC as required by the standard (correction - analysis of the causes - corrective actions).”",30.07.2024,7,Locked: 27.06.2025,
78954,0B6C3036,TORRONS VICENS (CRTA TARREGA) SL,CT de Tarrega 1,AGRAMUNT,25310,Espagne,,,IFS Food,26.06.2025,4.12.1 - KO - The use of wooden paddles for kneading (stage after cooking and before molding) of the hazelnut turrón d'Agramunt and almond turrón d'Agramunt is observed; these paddles are deteriorated in the central part due to direct and repetitive contact with the metal kneading bowl. Remains of splinters can be observed in the product that is being elaborated due to the use of the wooden paddles in bad condition.,13.08.2024,"5, 6",Locked: 26.06.2025,
79330,72EA113A,Vergeer Holland B.V. B.V.,Denemarkenweg 10,Bodegraven,2411RK,Pays-Bas,Vergeer Holland B.V. BV,2811 PT,IFS Food,24.06.2025,"Paragraph 5.11.3 KO; Corrective and preventive measures.
 Actions are followed up using a central action list. Based on a random sample of six actions, four deviations were identified:
 - The actions from the internal QESH audit of 24 December 2024 (e.g. Kleentec line 66, 80 tasks out of 102 outstanding, reason unclear) were not included in the action list and cannot be demonstrated to have been carried out.
 - Internal audit at the Bodegraven site on 31 March 2025; action 0677 temperature for loading not always checked with deadline 16 June 2025 still open.
 - Internal audit of management responsibility dated 10-3 and 17-03-25: food safety culture objectives not included in annual planning, deadline 19-04-25, no corrective/preventive measures established and not demonstrably implemented.
 - Internal audit of the Maturation site (Henri Dunantweg) dated 11-09-24 conveyor belts on processing line 2 fraying (action 0573) no corrective/preventive measures established and not demonstrably implemented.
 
 Hygiene inspections also revealed deviations with regard to the improvement cycle:
 - Monthly hygiene rounds are carried out. During the inspection on 16-01-25, foreign packaging was found on line L2160. During the inspection on 19-02, it was found that process controls had not been carried out in accordance with the procedure. Both points have not been demonstrably followed up. The actions were signed off by the plant manager with the comment that the remarks had been incorporated into subsequent inspections. However, these points are not demonstrably reflected in subsequent inspections.",21.08.2024,4,Locked: 24.06.2025,
79731,DF9FE880,MARISCOS MALLIÑO S.L,"CL MIRAFLORES, Nº 10 BAJO",SANXENXO,36969,Espagne,,,IFS Food,30.06.2025,"During IOC a NC was raised, 
 2.3.9.1. KO According to the HACCP of the company dated: 7 MAY 2025 V 11, the levels of chlorine in the settling tank (first chlorination) have been defined as CCP. 
 The critical limit established is: 0.5 - 2.5 ppm to minimize the presence of Salmonella and E. coli.
 According to the HACCP plan, the chlorine levels are checked on a daily basis before production starts.
 
 During the IOC, chlorine monitoring records were requested for 25 JUN 2025 prior to the start of production and were not available.
 The IP auditor requested to take a sample and analyze the chlorine levels and the result was 0.09 ppm.
 
 Chlorine monitoring records for the production day chosen for the traceability test, 15 MAY 2025, have been requested and were not available.",13.12.2024,2,Locked: 30.06.2025,
82449,2906AB69,CHMeat Sp. z o.o.,Lotników Lewoniewskich 11A,Sokółka,16-100,Pologne,,,IFS Food,10.07.2025,Documents are locked due to the lack of payment.,08.07.2025,1,Locked: 10.07.2025,
82476,E2BDA52A,"SPÓŁDZIELNIA PRODUCENTÓW DROBIU ""EKO-GRIL"" cooperative",Lotników Lewoniewskich 11A,Sokółka,16-100,Pologne,,,IFS Food,10.07.2025,Documents are held due to the lack of payment.,08.07.2025,1,Locked: 10.07.2025,
83086,4D28C8A7,Ekotrax nv,Hoveniersstraat 43,Sint-Katelijne-Waver,2860,Belgique,,,IFS Logistics,04.07.2025,"withdraw cert 38771-2008-AIFS-BEL-ACCREDIA due to change of address.
 New COID has been created and new address corrected",28.06.2024,"2.1.10, 2.1.2, 2.1.4, 2.1.5, 2.1.6, 2.1.7, 2.1.8, 2.2.2, 2.2.3",Locked: 04.07.2025,
83208,A76CC8D9,GOLDEN TROPICS GROUP S.L.,Poligono 5 - Ctra Castellón KM 233,BETXI,12549,Espagne,,,IFS Food,08.07.2025,"Dear all,
 
 We inform you that during the IFS Food v.8 audit performed from 07 to 08 July 2025 was detected a KO and 2 Major non conformities.
 
 KO non conformity- Requirement 4.1.3: The entry for Hass avocados dated 25-11-24 was reviewed. Supplier: Bxxx Axxx, S.L. (Product not GlobalG.A.P certified). Origin: Morocco. Entry with delivery note 99251124. It was verified that several pallets were prepared for several orders, several packages and for several customers. This was verified, for example, in order 240657 dated 9-12-24 and order 240744 dated 18-12-24, both for customer Exx Exxx Fxxx and Vxxx. The customer, under specification 1-7-23, requests, among other things, Global.G.A.P certified products, and it was verified that this condition was not met. This constitutes a breach of the specification.
 The same non-compliance was detected for order: 251133 dated 8-5-25 for the same customer (Exx Exxx Fxxx and Vxxx) whose supplier is Wxx Fxxx (Peru).
 
 Major Non Conformity - Requirement 4.2.1.5: It was verified that for Hass avocado order no. 251133 for customers ExxExxxFxxx and Vxxx, shipped on 8 May 2025, consisting of two pallets (240 mesh boxes, 12 x 500 g, brand Cxxxx, Batch 19/5/250PRN), the GGN of the audited company was declared on the label (8437024385004) was declared on the label. Such a declaration is not possible, as it has not been possible to verify a chain of custody certification from the supplier Wxxx Fxxx (Peruvian marketer) proving that the product is certified.
 
 Major Non Conformity - Requirement 4.3.2: A sample check was carried out on avocados of Moroccan origin (Supplier Bxx Axxx) received on 25-11-24, with delivery note 99251124, from which several orders have been placed, the origin declared on the final product label is incorrect in the case of order 240764 from Customer Bxx Pxx, brand Bxx Pxx, Batch511824/0243 labelled as Origin Spain. Other labels have been checked for orders 240766 dated 18-12-24 and 240791 dated 18-12-24, and the origin was correct.",25.07.2024,5,Locked: 08.07.2025,
